Date,Close Price,log.return
2016-05-30,532.59,0.016107553
2016-05-31,531.8,-0.001484419
2016-06-01,536.42,0.008649958
2016-06-02,538.14,0.003201313
2016-06-03,570.47,0.058341833
2016-06-04,573.45,0.005210166
2016-06-05,574.11,0.001150267
2016-06-06,585.53,0.019696404
2016-06-07,577.86,-0.013185795
2016-06-08,583.1,0.009027073
2016-06-09,576.45,-0.011470093
2016-06-10,579.13,0.004638372
2016-06-11,611.78,0.054845763
2016-06-12,675.34,0.098843527
2016-06-13,705.62,0.043860581
2016-06-14,685.99,-0.028213799
2016-06-15,696.32,0.014946274
2016-06-16,768.24,0.09829286
2016-06-17,747.55,-0.027300992
2016-06-18,755.68,0.010816813
2016-06-19,764.04,0.011002138
2016-06-20,727.95,-0.048387779
2016-06-21,665.88,-0.08912289
2016-06-22,602.89,-0.099374715
2016-06-23,625.49,0.036800584
2016-06-24,665.16,0.061492271
2016-06-25,665.33,0.000255545
2016-06-26,630.25,-0.054166592
2016-06-27,658.4,0.043696083
2016-06-28,646.3,-0.018548857
2016-06-29,639.08,-0.01123415
2016-06-30,672.48,0.050942729
2016-07-01,676.52,0.00598964
2016-07-02,703.69,0.039375907
2016-07-03,659.69,-0.064567891
2016-07-04,681.63,0.032716961
2016-07-05,668.09,-0.020064094
2016-07-06,676.11,0.01193289
2016-07-07,639.76,-0.055262679
2016-07-08,664.74,0.038302881
2016-07-09,650.63,-0.021454863
2016-07-10,649.96,-0.001030302
2016-07-11,649.03,-0.001431882
2016-07-12,664.84,0.02406747
2016-07-13,653.93,-0.016546098
2016-07-14,659.64,0.00869392
2016-07-15,664.88,0.007912342
2016-07-16,663.54,-0.002017435
2016-07-17,679.05,0.023105624
2016-07-18,673.59,-0.008073145
2016-07-19,673.84,0.000371077
2016-07-20,666.18,-0.01143279
2016-07-21,665.1,-0.001622499
2016-07-22,650.82,-0.021704299
2016-07-23,654.86,0.006188366
2016-07-24,661.05,0.009408008
2016-07-25,655.13,-0.008995791
2016-07-26,651.08,-0.006201167
2016-07-27,655.44,0.006674243
2016-07-28,655.63,0.00028984
2016-07-29,656.67,0.001585004
2016-07-30,654.98,-0.002576908
2016-07-31,625.88,-0.045446041
2016-08-01,607.37,-0.030020499
2016-08-02,552.82,-0.094105709
2016-08-03,565.26,0.022253351
2016-08-04,578.32,0.022841546
2016-08-05,574.96,-0.005826876
2016-08-06,588.42,0.023140505
2016-08-07,592.78,0.007382357
2016-08-08,590.62,-0.003650503
2016-08-09,584.76,-0.009971326
2016-08-10,592.89,0.013807378
2016-08-11,586.52,-0.010802116
2016-08-12,586.03,-0.000835785
2016-08-13,585.08,-0.001622393
2016-08-14,571.44,-0.023589099
2016-08-15,567.2,-0.007447516
2016-08-16,576.25,0.015829619
2016-08-17,571.74,-0.007857252
2016-08-18,572.5,0.001328393
2016-08-19,573.66,0.002024151
2016-08-20,580.7,0.012197386
2016-08-21,580.69,-1.72207E-05
2016-08-22,584.73,0.006933151
2016-08-23,581.28,-0.005917634
2016-08-24,577.99,-0.005676001
2016-08-25,575.73,-0.003917767
2016-08-26,578.16,0.004211846
2016-08-27,568.67,-0.016550346
2016-08-28,573.55,0.008544816
2016-08-29,572.36,-0.002076953
